item_name,is_expense,quantity,sum_of_one
Audi,true,805,8
Bentley,true,7,27
Subaru,false,12,80
Oldsmobile,false,65,58
Saab,true,702,87
Ford,false,12,92
Jeep,true,5,54
Volkswagen,true,1586,44
Honda,true,73541,71
Ford,true,12834,40
Nissan,true,3090,61
Lincoln,true,92815,90
Ford,true,2970,46
Suzuki,true,434,60
Volvo,false,070,96
Honda,true,772,82
Mazda,false,28,42
Lincoln,true,79219,72
Acura,false,2,60
Plymouth,true,01185,94
Saab,true,8122,83
GMC,true,185,79
Cadillac,false,74055,37
Mercedes-Benz,false,0621,49
Mercedes-Benz,true,703,61
Hyundai,true,58,51
Jeep,true,1,80
Dodge,false,1,21
Infiniti,false,29156,50
Porsche,true,130,81
Toyota,false,7,18
Mercedes-Benz,true,080,45
Toyota,true,92,24
Mazda,true,167,12
Dodge,true,74,26
Chevrolet,false,098,50
Mitsubishi,true,08175,1
Hyundai,true,93582,24
Mitsubishi,true,22,63
Toyota,false,4436,54
Pontiac,true,3222,44
Toyota,false,5155,81
Chevrolet,true,1794,45
Volvo,false,09,63
Toyota,true,7892,78
Honda,false,5,94
Infiniti,false,62085,65
Ford,false,6837,69
Pontiac,false,62,83
Dodge,false,860,60
Mercury,false,13,97
Nissan,true,8,51
Ford,true,9,47
Nissan,false,4883,34
Toyota,true,1496,57
Dodge,false,0974,22
Infiniti,true,090,39
Toyota,true,4680,83
Nissan,false,7719,22
BMW,true,4004,77
Mitsubishi,false,67,59
Ford,true,19988,78
Mercedes-Benz,false,226,66
Pontiac,false,7,42
Kia,false,3681,54
GMC,false,21245,20
Acura,false,82,72
Oldsmobile,false,80,32
Oldsmobile,false,20,2
Volkswagen,false,250,85
Mercedes-Benz,true,79372,38
Volvo,false,47494,48
Acura,false,7113,27
Hyundai,true,890,54
Hyundai,true,01423,66
Toyota,true,34737,44
Chevrolet,true,4007,76
Ford,false,36971,67
Buick,true,15,91
Buick,true,59,77
Toyota,true,10,40
Volkswagen,false,6505,91
Audi,false,11044,5
Honda,false,92,4
Dodge,true,181,2
Chevrolet,true,44,92
Lexus,true,2859,18
Toyota,false,96220,21
Nissan,false,655,52
Land Rover,false,7369,55
BMW,false,12,52
Ford,true,5359,37
Lexus,true,006,35
Chrysler,false,77,42
Hummer,true,32,3
Cadillac,true,847,15
Hyundai,true,25642,99
Toyota,false,00350,53
Lamborghini,true,4635,17
